id	dest_lon	dest_lat	origin_lon	origin_lat	distance_m	duration_s
"4842"	"-75.26215802999998"	"39.988232"	"-74.68629907199998"	"40.413037696"	"78595.3"	"5286.6"
"6031"	"-109.997075"	"40.30436847"	"-109.71528379"	"40.97497772"	"148012.8"	"7615.3"
"2027"	"-88.21444285"	"40.11741465"	"-88.39870606700001"	"40.369076"	"41457.3"	"2325.8"
"8922"	"-80.83858591000001"	"35.20464084"	"-75.565869346"	"38.440998055"	"750956.5"	"34210.2"
"4843"	"-85.41506171"	"40.19758281"	"-84.49634841300001"	"40.228396533"	"92097.39999999999"	"5621.7"
"6032"	"-84.52367203999998"	"38.03251698"	"-84.89845166399999"	"38.927509745"	"138836.2"	"7932.6"
"549"	"-72.68071247999998"	"41.75433701"	"-72.664730721"	"41.656773232"	"12078.9"	"961.2"
"2028"	"-82.70895253"	"28.03873301"	"-82.50361700000001"	"28.061256"	"25491.4"	"1743"
"3031"	"-88.71769650999998"	"34.2423489"	"-88.58285035"	"34.775200616"	"67470.8"	"3323"
"4844"	"-89.00746963"	"42.26569723"	"-87.92443342200001"	"42.190281341"	"107772.5"	"5226.2"
"6033"	"-115.55370399"	"32.95808899"	"-116.990061"	"32.838758"	"180850.5"	"7847.6"
"550"	"-122.66960023"	"45.54388139"	"-122.558331"	"45.52036500000001"	"12746.1"	"890.7"
"8190"	"-117.46932098"	"33.90478301"	"-111.63112623"	"33.225031596"	"589670.5"	"24370.9"
"8923"	"-112.02617299"	"33.45851246"	"-105.40744957"	"35.249672338"	"813394.3"	"34101.1"
"551"	"-119.28230996"	"46.2804675"	"-119.17559605"	"46.210043661"	"13581"	"888.9"
"4845"	"-83.63052401"	"32.61818249"	"-84.51142642399999"	"32.314022266"	"101374.2"	"5270"
"6034"	"-110.94412269"	"32.24012237"	"-112.00874197"	"33.584882179"	"197389.7"	"8237.9"
"2029"	"-85.58079523000001"	"42.28509781"	"-85.864467828"	"42.369463851"	"34418.9"	"2208.7"
"3032"	"-87.35698967"	"41.59982291"	"-87.229016046"	"41.176759411"	"63427.9"	"3084.6"
"552"	"-85.96883574"	"32.93132821"	"-85.83758460199999"	"32.86523448"	"17475.6"	"1025.5"
"4846"	"-77.52606414"	"37.51589281"	"-77.34628553999998"	"36.685662995"	"125865.9"	"5564.7"
"6035"	"-71.3424543"	"42.64851278"	"-72.719999"	"41.726929"	"179650.4"	"8370.299999999999"
"8191"	"-77.62358742000001"	"43.1228322"	"-71.551133583"	"41.986089191"	"601390.9"	"26355"
"8924"	"-122.30828757"	"47.65084873"	"-116.44520813"	"44.559949965"	"775654.2"	"33610.1"
"553"	"-96.22421719"	"34.53940288"	"-96.38335102399999"	"34.632419138"	"20489.8"	"962"
"4847"	"-117.35059803"	"34.073509"	"-118.18169599"	"33.832803759"	"98355.5"	"4570.9"
"6036"	"-80.52272218"	"34.97516097"	"-81.195933282"	"34.117196077"	"161014.1"	"7739"
"2030"	"-80.14227144999998"	"26.10181755"	"-80.158431785"	"25.896987901"	"27694.4"	"1755.7"
"3033"	"-80.13927751999998"	"25.81333893"	"-80.175959281"	"26.181692205"	"52999.8"	"2824.7"
"4848"	"-88.1582686"	"41.87255047"	"-89.03534599999999"	"42.325425"	"107563.2"	"5230.5"
"6037"	"-75.11972376"	"40.11837018"	"-74.962366863"	"40.971596962"	"125199.9"	"7043.1"
"554"	"-112.05995064"	"33.46570254"	"-111.92720758"	"33.393432305"	"20820"	"1027.5"
"8000"	"-77.03542842999998"	"39.01599259"	"-73.366659297"	"41.769680913"	"505963.3"	"23045.9"
"3034"	"-87.87226096000001"	"41.12119801"	"-88.18885285099998"	"40.763336584"	"63168.9"	"3013.9"
"6038"	"-111.83526132"	"40.77197259"	"-111.95392101"	"41.969559198"	"169669.3"	"7998.1"
"555"	"-90.50340801"	"38.65131299"	"-90.56564200000001"	"38.592793"	"11923.1"	"839.2"
"8001"	"-122.30828757"	"47.65084873"	"-120.15789863"	"44.959408086"	"484548.3"	"23544.8"
"3035"	"-71.37598426"	"42.45160759"	"-70.956925412"	"42.207891836"	"55257.5"	"3218.5"
"556"	"-118.18431803"	"34.02390247"	"-118.25247042"	"34.044259195"	"9425.1"	"623"
"4849"	"-75.97789444"	"40.37678053"	"-75.119425029"	"39.950677135"	"113261.8"	"5366.5"
"6039"	"-92.34721254999999"	"42.46268976"	"-94.54555318"	"42.524356188"	"195466.2"	"8780.700000000001"
"2031"	"-74.92812619"	"39.84240625"	"-75.22745625999998"	"39.801513373"	"35690.7"	"1998.6"
"3036"	"-80.06902309"	"26.50361502"	"-80.18733264700001"	"26.020060158"	"62621"	"2968.9"
"557"	"-117.35059803"	"34.073509"	"-117.23427396"	"34.049327756"	"13953.2"	"795.7"
"4850"	"-72.68278784"	"41.75384063"	"-71.784292819"	"41.423722585"	"97539.10000000001"	"5009.3"
"6040"	"-73.82571331"	"40.7469726"	"-75.396886165"	"40.924423504"	"166614.2"	"7912.3"
"8002"	"-101.89258097"	"33.57787248"	"-102.61872159"	"38.084117555"	"543723.3"	"24308.9"
"3037"	"-90.18058124"	"44.76185513"	"-89.66191091599998"	"44.956074949"	"63107.2"	"3574.4"
"558"	"-106.61916316"	"35.08770617"	"-106.51754743"	"35.101629006"	"10943.6"	"854.6"
"4851"	"-86.54014311"	"39.16137481"	"-86.22583597099998"	"39.89580916"	"97876.3"	"4887.6"
"6041"	"-97.60920741"	"38.83333399"	"-95.99407681"	"38.810605976"	"185325.3"	"8435.6"
"3038"	"-82.38576410999998"	"36.30837207"	"-82.08275159599998"	"36.179849232"	"45876"	"2734.8"
"559"	"-79.36513651"	"34.42080398"	"-79.19419043899998"	"34.343984152"	"20371.1"	"977.2"
"4852"	"-80.14636987"	"41.64169219"	"-80.810852349"	"41.256655843"	"81103.7"	"5554.4"
"2032"	"-73.46926181000001"	"44.70101163"	"-73.789761721"	"44.84295708"	"42097"	"2662.8"
"6042"	"-80.25626601"	"26.26911698"	"-81.772398677"	"26.46150236"	"197968"	"8575"
"3039"	"-93.63191716"	"41.58886433"	"-93.499910145"	"41.223624836"	"48678"	"2868.2"
"560"	"-122.05801668"	"37.89194312"	"-122.24369806"	"37.843891663"	"20141.1"	"1046.1"
"4853"	"-96.21063004"	"43.67227102"	"-97.00082898799999"	"44.154247716"	"130576.6"	"5989.3"
"8003"	"-86.27564346"	"45.945067"	"-85.92989495399999"	"42.968731424"	"552190.4"	"23103.4"
"6043"	"-84.32098261"	"33.79417227"	"-85.41030122799998"	"34.387310162"	"155336"	"7915.5"
"8925"	"-75.1587059"	"39.94962529"	"-81.612047183"	"37.691710594"	"777278.5"	"34446.1"
"561"	"-104.97351754"	"39.67032401"	"-105.07892846"	"39.647922839"	"12202.8"	"854.3"
"4854"	"-78.92060009999999"	"40.3040575"	"-78.24301900199998"	"40.219362422"	"89200.10000000001"	"5423.7"
"2033"	"-78.70241999999999"	"35.81817201"	"-78.52437895199999"	"35.970809707"	"29607.9"	"1869.1"
"6044"	"-108.2169953"	"36.72446311"	"-108.73583426"	"35.521142102"	"195662.6"	"8630.5"
"8926"	"-121.25052701"	"38.74683798"	"-123.10316547"	"44.01704669"	"782844.5"	"33563.4"
"562"	"-75.2670767"	"43.08349911"	"-75.214136575"	"42.966717804"	"16987.5"	"1106.2"
"4855"	"-73.94507865"	"40.65537848"	"-74.30931571000001"	"40.970515286"	"55654.3"	"3420.1"
"8004"	"-73.82571331"	"40.7469726"	"-71.30550559"	"43.862106953"	"497509.5"	"24883.9"
